"Region","Zone","Type","Year","Season","Month","Day","Hour","Latitude","Longitude","Altitude","t2m","ws","wd","tp","blh","ssr","CVD60","no2","o3","so2","co","pm10","pm2.5"
"East Midlands","Tyneside","Traffic Urban","1990","Spring","01","03","21",55.1760354197304,-0.873855184249318,3.62812714064617,273.780285637689,1.7987050397134,156.808791229133,6.17519661246695e-05,-131.594780604497,4367724.56714918,0.175612600803147,76.3602146048795,17.7585220383456,13.8022052523122,1.44258906924834,36.4935415923511,18.636600041834
"East Midlands","Greater Manchester Urban Area","Background Urban","1994","Spring","09","14","23",53.0594986091976,-1.52041909896419,-5.38916568079014,284.66479760853,6.81056884654817,48.6681419790678,0.00224564963159373,567.411531069543,1493708.42539629,0.156818458133909,49.0552135956763,17.744199339698,13.7835839994291,0.737767299496902,36.4728469867377,18.6432551472581
"North West","Greater London Urban Area","Background Urban","1995","Winter","08","22","20",53.5843750930718,-3.29043325419303,27.100061446031,298.748270237301,-0.680095544522078,79.527555827824,-0.000639480960818401,178.463580795729,14077620.0116133,0.137490124945854,56.2083920780649,11.8623441169124,4.65950934401259,0.432092931025551,41.7190760355087,18.643554595365
"East of England","Kingston upon Hull","Traffic Urban","1987","Summer","07","26","13",52.8865631112651,-3.63539141112338,-35.3721334255839,293.698225068562,9.68937913790085,279.9498303958,0.000896117573130861,2062.37549918058,9495257.32312407,0.138988601301495,355.746219791846,17.0201877640374,18.8238697712843,0.942356874217289,35.2573388129159,18.6517499513627
"Yorkshire and The Humber","Teesside Urban Area","Background Urban","1985","Spring","03","13","12",51.2730647626486,-2.76079443471626,155.365869839635,280.918231268553,3.7455094912274,299.981580039442,-0.000267748714523537,1942.06866941028,5356861.03443124,0.286045097816572,36.3130415607673,-29.310903372307,25.0755011576797,1.28136733900559,33.5821530385841,18.6417977373157
"South East","West Midlands Urban Area","Background Rural","1990","Spring","09","17","01",51.7413406864591,-0.732847118611694,-12.6956609401351,290.505388947431,6.40301345799034,262.199301187002,-0.000112541203635209,993.066078097243,5879887.55818093,0.145581693225303,41.3473251520807,10.8777826687999,11.7816714567398,0.945906472107828,32.5328345808835,18.6351321080457
"South West","Greater Manchester Urban Area","Traffic Urban","1986","Summer","07","21","14",52.6377384590013,-1.36661360409909,169.143096107336,291.610630164726,3.75874935335767,275.123373903386,-0.0013782229707236,2478.12650649998,12006975.0596624,0.173860637194952,76.3161553318854,17.7532080836143,13.8098709702556,1.44179024274937,36.4913282252152,18.6359839910331
"Greater London Authority","West Midlands Urban Area","Traffic Urban","1987","Spring","11","17","18",49.0018572667983,-2.07849271554159,-61.1140522397022,280.563074705634,3.29838973252102,259.948245928232,-0.00888904879438985,351.784432116082,6797133.64709545,0.1336336257303,76.3039534192855,17.7602634870365,13.7686786128715,1.44218302871457,36.473292520924,18.6419606433364
"Yorkshire and The Humber","South East","Background Urban","1998","Summer","04","25","06",51.4470231751182,-2.13706611525818,132.325694264432,275.196991091187,3.42858290061512,221.8654293171,-0.000765988902795999,532.627366936509,47896.8376989835,0.236174323901814,76.3445035858994,17.7303158898847,13.8076621782969,1.43387702094394,35.931995130819,18.6359237365727
"South West","Greater London Urban Area","Traffic Urban","1985","Fall","07","27","20",53.382058392554,-0.505628455932952,10.5727901209003,296.132655330914,5.96010995008384,227.252532187443,0.00057018868615346,1545.06918094337,7685324.05790169,0.153452236940179,80.3476431472222,17.735736077306,13.8081818713379,1.4421769465336,36.4761721985476,18.6449446141256
